id,creationDate,publicatioName,reviewText,scoreSentiment,title,runtimeMinutes,genre,originalLanguage,predictedSentiment,cleaned_text,LDA_Topics
928530,2003-01-27,Moviola,Llena de accin aventuras magia e imaginacin que en muchos aspectos supera su predecesora,POSITIVE,Harry Potter and the Chamber of Secrets,161.0,"Kids & family, Fantasy, Adventure",English,Negative,"['llena', 'de', 'accin', 'aventuras', 'magia', 'e', 'imaginacin', 'que', 'en', 'muchos', 'aspectos', 'supera', 'su', 'predecesora']","[(0, 0.013422155), (1, 0.94641286), (2, 0.013399909), (3, 0.013382413), (4, 0.013382675)]"
570930,2010-06-17,Chicago Tribune,Though uneven less witty first two Toy Story 3 delivers quite enough two dimensions,POSITIVE,Toy Story 3,102.0,"Kids & family, Comedy, Adventure, Fantasy, Animation",English,Positive,"['though', 'uneven', 'less', 'witty', 'first', 'two', 'toy', 'story', '3', 'delivers', 'quite', 'enough', 'two', 'dimensions']","[(0, 0.013601728), (1, 0.01363224), (2, 0.52241194), (3, 0.436621), (4, 0.01373307)]"
580991,2022-05-20,indieWire,George Miller could find cinema single hotel minibar contemporary directors could squeeze entire galaxy far far away manages exactly without unbalancing delicate soul intimate twohander,POSITIVE,Three Thousand Years of Longing,108.0,"Fantasy, Drama",English,Positive,"['george', 'miller', 'could', 'find', 'cinema', 'single', 'hotel', 'minibar', 'contemporary', 'directors', 'could', 'squeeze', 'entire', 'galaxy', 'far', 'far', 'away', 'manages', 'exactly', 'without', 'unbalancing', 'delicate', 'soul', 'intimate', 'twohander']","[(0, 0.7755531), (3, 0.15595318), (4, 0.052838422)]"
56115,2005-02-19,Boston Phoenix,Kids arent going get sexual innuendo many adults enjoy blast urine splatters snot vomit,NEGATIVE,Son of the Mask,95.0,Comedy,English,Positive,"['kids', 'arent', 'going', 'get', 'sexual', 'innuendo', 'many', 'adults', 'enjoy', 'blast', 'urine', 'splatters', 'snot', 'vomit']","[(0, 0.013492023), (1, 0.9453133), (2, 0.0138095105), (3, 0.0139699485), (4, 0.0134152435)]"
766981,2015-07-27,Variety,Essentially 84minute shoulder shrug captured onscreen Big Significant Things latest American independent feature suggest things intriguing young white guy trying find,NEGATIVE,Big Significant Things,85.0,"Comedy, Drama",English,Negative,"['essentially', '84minute', 'shoulder', 'shrug', 'captured', 'onscreen', 'big', 'significant', 'things', 'latest', 'american', 'independent', 'feature', 'suggest', 'things', 'intriguing', 'young', 'white', 'guy', 'trying', 'find']","[(0, 0.96286)]"
285049,2020-03-03,indieWire,think youve seen story think youve got figured doesnt mean lacks additional wisdom impart,POSITIVE,The Woman Who Ran,77.0,"Comedy, Drama",Korean,Negative,"['think', 'youve', 'seen', 'story', 'think', 'youve', 'got', 'figured', 'doesnt', 'mean', 'lacks', 'additional', 'wisdom', 'impart']","[(0, 0.01352953), (1, 0.9459276), (2, 0.013632168), (3, 0.013469262), (4, 0.013441476)]"
109526,2022-10-18,Daily Telegraph (UK),Kraffts documented work hundreds hours film Herzogs role edit overlaying otherworldly images haunting music narration images,POSITIVE,The Fire Within: A Requiem for Katia and Maurice Krafft,81.0,"Biography, Documentary",English,Positive,"['kraffts', 'documented', 'work', 'hundreds', 'hours', 'film', 'herzogs', 'role', 'edit', 'overlaying', 'otherworldly', 'images', 'haunting', 'music', 'narration', 'images']","[(0, 0.011852514), (1, 0.011875768), (2, 0.011877635), (3, 0.95253414), (4, 0.01185997)]"
1019623,2020-03-02,Shadows on the Wall,rural Irish drama may bleak tone gorgeously shot performed viewer pulled story easily identifying complex situations main characters grappling,POSITIVE,The Shadow of Violence,101.0,"Crime, Drama, Mystery & thriller",English (United Kingdom),Positive,"['rural', 'irish', 'drama', 'may', 'bleak', 'tone', 'gorgeously', 'shot', 'performed', 'viewer', 'pulled', 'story', 'easily', 'identifying', 'complex', 'situations', 'main', 'characters', 'grappling']","[(0, 0.01014555), (1, 0.4702229), (2, 0.010328844), (3, 0.010174278), (4, 0.49912843)]"
413893,2000-01-01,Jam! Movies,American Pie isnt worth enjoying hot sweet,POSITIVE,American Pie,95.0,Comedy,English,Positive,"['american', 'pie', 'isnt', 'worth', 'enjoying', 'hot', 'sweet']","[(0, 0.025359973), (1, 0.75029045), (2, 0.02520747), (3, 0.1738391), (4, 0.025302993)]"
33177,2006-04-10,eFilmCritic.com,Feed muddles outlandishly stupid premise thing gets uglier instead intense sillier instead exciting,NEGATIVE,Feed,105.0,Mystery & thriller,English,Negative,"['feed', 'muddles', 'outlandishly', 'stupid', 'premise', 'thing', 'gets', 'uglier', 'instead', 'intense', 'sillier', 'instead', 'exciting']","[(0, 0.014360946), (1, 0.0146476375), (2, 0.014396407), (3, 0.014452626), (4, 0.94214237)]"
48390,2000-01-01,Los Angeles Times,Much effort expertise gone making Simpatico entertaining persuasive needs succeed fully,NEGATIVE,Simpatico,106.0,"Comedy, Drama",English,Negative,"['much', 'effort', 'expertise', 'gone', 'making', 'simpatico', 'entertaining', 'persuasive', 'needs', 'succeed', 'fully']","[(0, 0.93249726), (1, 0.01682051), (2, 0.016906729), (3, 0.016808944), (4, 0.016966552)]"
785057,2000-01-01,Boxoffice Magazine,simplistic formula 3 Strikes relies sexual humor flatulence references notsocurrent events bombardment mediocre jokes soon growing tiresome repetitive,NEGATIVE,3 Strikes,82.0,Comedy,English,Negative,"['simplistic', 'formula', '3', 'strikes', 'relies', 'sexual', 'humor', 'flatulence', 'references', 'notsocurrent', 'events', 'bombardment', 'mediocre', 'jokes', 'soon', 'growing', 'tiresome', 'repetitive']","[(0, 0.4261745), (1, 0.010601581), (2, 0.54170233), (3, 0.010938484), (4, 0.010583146)]"
466701,2008-08-13,One Guy's Opinion,makes want reach Raid,NEGATIVE,Fly Me to the Moon,89.0,"Kids & family, Fantasy, Adventure",English,Negative,"['makes', 'want', 'reach', 'raid']","[(0, 0.040420145), (1, 0.040926702), (2, 0.50319475), (3, 0.37509656), (4, 0.040361848)]"
483164,2002-10-02,Internet Reviews,Prepare slimed,NEGATIVE,The Rules of Attraction,110.0,"Comedy, Drama",English,Positive,"['prepare', 'slimed']","[(0, 0.7325416), (1, 0.06686409), (2, 0.066861674), (3, 0.06686397), (4, 0.06686864)]"
821631,2010-03-12,Washington Post,bouquet anyones going catch contrivance aroma stale comedy,NEGATIVE,Our Family Wedding,101.0,"Romance, Comedy",English,Negative,"['bouquet', 'anyones', 'going', 'catch', 'contrivance', 'aroma', 'stale', 'comedy']","[(0, 0.022488348), (1, 0.022652749), (2, 0.022475477), (3, 0.90995723), (4, 0.022426166)]"
352855,2021-11-30,Sydney Morning Herald,fabulously weird original tale Two fine lead performances carry us sometimes misty forests meaning finale defies description,POSITIVE,Titane,108.0,"Horror, Mystery & thriller, Drama",French (France),Positive,"['fabulously', 'weird', 'original', 'tale', 'two', 'fine', 'lead', 'performances', 'carry', 'us', 'sometimes', 'misty', 'forests', 'meaning', 'finale', 'defies', 'description']","[(0, 0.011603495), (1, 0.29173613), (2, 0.011337497), (3, 0.011317478), (4, 0.67400545)]"
972604,2011-06-10,Spirituality & Practice,hardhitting documentary activities Earth Liberation Front labeled FBI nations Number 1 domestic terrorism threat,POSITIVE,If a Tree Falls: A Story of the Earth Liberation Front,85.0,"Documentary, Biography, Crime, Drama",English,Positive,"['hardhitting', 'documentary', 'activities', 'earth', 'liberation', 'front', 'labeled', 'fbi', 'nations', 'number', '1', 'domestic', 'terrorism', 'threat']","[(0, 0.01397437), (1, 0.9457852), (2, 0.013392396), (3, 0.013463708), (4, 0.013384307)]"
275422,2008-04-17,Washington Post,Documentarian Stephen Walkers brisk ironic style narration frank inclusion observations contribute mightily enterprise also aided honesty,POSITIVE,Young at Heart,110.0,Documentary,English,Positive,"['documentarian', 'stephen', 'walkers', 'brisk', 'ironic', 'style', 'narration', 'frank', 'inclusion', 'observations', 'contribute', 'mightily', 'enterprise', 'also', 'aided', 'honesty']","[(0, 0.9519393), (1, 0.012227268), (2, 0.01192195), (3, 0.012034735), (4, 0.011876769)]"
480341,2016-03-17,Cinefantastique,Viewers eager enjoy terrors dressed accoutrements Gothic horror may good time though slow pacing misguided ending undermine effectiveness,NEGATIVE,The Valdemar Legacy 2: The Forbidden Shadow,95.0,Horror,Spanish,Positive,"['viewers', 'eager', 'enjoy', 'terrors', 'dressed', 'accoutrements', 'gothic', 'horror', 'may', 'good', 'time', 'though', 'slow', 'pacing', 'misguided', 'ending', 'undermine', 'effectiveness']","[(0, 0.95690024), (1, 0.010862167), (2, 0.010852762), (3, 0.010766822), (4, 0.010618049)]"
